filename,collection,cycle,file_size_bytes,sha256
"cchs_2017s_dd_m_en_1_v1.pdf","master","",3798168,"b3da51a59a076317b1b212b9a32de12d3e145c39efe9c8d53e933a41db585da5"
"cchs_2017s_dv_m_en_1_v1.pdf","master","",1091219,"375338f193f2328beb990bffd5371d0c53a479d773e12d0e5a88f07f32220365"
"cchs_2017s_qu_m_en_1_v1.pdf","master","",1275607,"fcbde4486b960a5bdb0544e2ba863c1c78794f0a38fca5cfb91ae9d40f83ba30"
"cchs_2017s_ug_m_en_1_v1.pdf","master","",1833902,"a5d65b5176715f2fbeafed168a05f9e497ae55368c0949ced43121623a715897"
"cchs_2018s_dd_m_en_1_v1.pdf","master","",3876881,"be907e7b83ea9111698f9557a847df28f74bc3a66d3e039aef866c7de8dcd40c"
"cchs_2018s_dv_m_en_1_v1.pdf","master","",1075657,"c0da71cf78e9af68f0bb656023c27c66735ba0077605d2a0a20481af6c696e74"
"cchs_2018s_qu_m_en_1_v1.pdf","master","",1577431,"d12ed9a860911d6d151a596ec748e61eba8cbf9cab8139de2e5bdc9682305fd3"
"cchs_2018s_ug_m_en_1_v1.pdf","master","",2272942,"51dc33c5b6ab93755288df38831b11dbf75d70e99952bdea86066c49161a5fac"
"cchs_2019s_dd_m_en_1_v1.pdf","master","",3735429,"5ec9263dcdfa95956cda9f73a9119cde731e3355e3d9813da6a6c048c907442e"
"cchs_2019s_dv_m_en_1_v1.pdf","master","",1112398,"5da0e180bf826e204da790842bf19af59418482bbd982c49fc9821ff6c159a3c"
"cchs_2019s_qu_m_en_1_v1.pdf","master","",4451790,"e6af4c7da8adc9db7ff8cc753f677ec6af4984eb777a0728be4bd76d4dd288be"
"cchs_2019s_ug_m_en_1_v1.pdf","master","",2393204,"6522ab794796ff9b0cb993208a7f852392ad6c27b7d2a8ac8d877f01854c6173"
"cchs_2020s_dd_m_en_1_v1.pdf","master","",3802143,"7dbfecbefbc301b690ea2d218645654fb32c329166fa8eb286ae2fe0cf10c791"
"cchs_2020s_dv_m_en_1_v1.pdf","master","",1112421,"977d13fe9ba017b1412fbfa3f7d956936baee546c01ef2f67bcf6623602b9c56"
"cchs_2020s_qu_m_en_1_v1.pdf","master","",9924770,"87823201025f1bcd853f1c3cd14ab3a02a8df0124e46468b53af84ecb3cbe317"
"cchs_2020s_ug_m_en_1_v1.pdf","master","",1788936,"fcb8e1a06bf66faa2ce45e14cbfba14034c880942f0906dd96f0c022bfc56ac5"
"cchs_2021s_dd_m_en_1_v1.pdf","master","",2778428,"767be1d350b7d1e289951b9a46436a07cf9f38ac7c07cb38ffe1db6f84bfaf44"
"cchs_2021s_dv_m_en_1_v1.pdf","master","",1163780,"d5532f989d276d81f68059f0fcc4d027547e58503ef7ceb9ea070880d085c3aa"
"cchs_2021s_dv_s_en_1_v1.pdf","master","",1163780,"d5532f989d276d81f68059f0fcc4d027547e58503ef7ceb9ea070880d085c3aa"
"cchs_2021s_qu_m_en_1_v1.pdf","master","",6447368,"25acfa39e4a510789b55654b66b1e17b126719fcc97821abe2e0c155abda8722"
"cchs_2021s_qu_s_en_1_v1.pdf","master","",6447368,"25acfa39e4a510789b55654b66b1e17b126719fcc97821abe2e0c155abda8722"
"cchs_2021s_ug_m_en_1_v1.pdf","master","",1010430,"d59bc8af692fd586afd6f20b36e3d4a34a380b4de7198d308079fc7bb9ee91c1"
"cchs_2021s_ug_s_en_1_v1.pdf","master","",1010430,"d59bc8af692fd586afd6f20b36e3d4a34a380b4de7198d308079fc7bb9ee91c1"
"cchs_2022s_dd_m_en_1_v1.pdf","master","",2509219,"5441e42959cfb5850e9548238314fca870bd44ca00e163bb240219875f38c65d"
"cchs_2022s_dv_m_en_1_v1.pdf","master","",605683,"92784fb731f735cfd3b4e187dff39fd2e5a1d5f6681be2e30931f4f498ba07a8"
"cchs_2022s_qu_m_en_1_v1.pdf","master","",2638895,"56304c9ee67552aaea237558f8ecfc173f431953c39b786cad265d1c2550978c"
"cchs_2022s_ug_m_en_1_v1.pdf","master","",1100557,"4c82864bd060e31dcb6ef163871e85c70a3fa4e30abe4f8bde8f24f6b3e60848"
"cchs_2023s_dd_m_en_1_v1.pdf","master","",2650628,"bc4718b41ce2f96f456bf7dd5c418e0bb794c691582c99e0143e1de1daaeed98"
"cchs_2023s_dd_m_en_2_v1.pdf","master","",2656946,"cff50b892d85625dae7257e95e10068db673cb46df9fc574486cede38b8254b0"
"cchs_2023s_dv_m_en_1_v1.pdf","master","",1708761,"3a442a84064a8f9ae3dbaf8e125168f56c3269b2179ea61ebc11a241b2c9b9a5"
"cchs_2023s_qu_m_en_1_v1.pdf","master","",1472820,"7c6f27087016fbee45850b59cc5757ebe5ce474e06eb2d42ba6b655df0289668"
"cchs_2023s_ug_m_en_1_v1.pdf","master","",2399863,"db3596d97fab8b22ca8c8c3c5471b1de08310e9fbc8de1f0b27170bfe6fb6701"
"ALPHA.pdf","pumf","2001",109309,"e8f313cd15ad7dc2cff13fc3e39e861ec858411c2e9d555ea335a2208e62d708"
"LAYOUT.pdf","pumf","2001",114559,"2a37beef76bbeb6409ab527928dffb05e557ec0fbf931e16ace02e1b8d29efed"
"QUALITY.pdf","pumf","2001",46297,"6be040c5c9dfb5442bd2593a85d7f69a061d6abe9c6cf61b2ca0da9ff6ccf64c"
"QUESTE.pdf","pumf","2001",372117,"9f344ba5728d4d07d82c37c653319d0632f63553156728e3d9e4c9c7bbac537d"
"SUMMARYE.pdf","pumf","2001",1385822,"43e92f2287684cf886a9aeb7423b0d447bac77b1155d9889759f5951a53406c1"
"TABLES_E.pdf","pumf","2001",383292,"8be2aed5e7a560130c3a38081357108a4fc22a2da049a4591e30a5143b008c1e"
"TOPIC.pdf","pumf","2001",121345,"78dda0e9274710aabd85e929474cbbe1f1a609f8d4076f2957ff709e7cd07b56"
"cchs_cycle1-1cbkv2.pdf","pumf","2001",781862,"212581177024cc045d1e8851145bb8d7da08b594ed2d3a3df26e887e5219ed2c"
"cvtab_e.pdf","pumf","2003",489074,"31e55aae6a27bdaabf973959a17596ae08f81d39a75fe7bb07870ca12fff5904"
"derive_e.pdf","pumf","2003",1105927,"02887f1d2f9aa7e808ea8d6329c93573289122a85dd4b93d4a300b41ed697e9c"
"dict_e.pdf","pumf","2003",1385750,"463b42e29d34dee93942a2ccb412866200d5ee4d99d34d7b94138f685e76be85"
"guide_e.pdf","pumf","2003",695216,"f05357973fac33420f7522c9e76e5dd38681e085b74bc1ce2b72a98499145a4f"
"index-a_e.pdf","pumf","2003",171171,"3fa6fb391e44792423d7508119d6625c89a94e043a9afdf94d358b640cdcb4c9"
"layout_e.pdf","pumf","2003",167741,"bad931ffad3354c3cb60ee810041d489edd14f4bea92e22bdc3a4be99f28dc2b"
"qualit_e.pdf","pumf","2003",11198,"21a22f073b79a8b9ea30b9f6f280570e12a2cbff8059130ff9e36f564b666616"
"quest_e.pdf","pumf","2003",528453,"aaf9be1b5897ae86d57fad2d034f45e7ee409a70bb0cacc48da871e0d1c58af8"
"Alphabetic Index.pdf","pumf","2005",145248,"1dfcb8d248bca95d7edea87f72dd05a37064d332a465724acd4734b443091b01"
"Approximate Sampling Variability Tables.pdf","pumf","2005",437056,"a28dd82c8ba09eec3268188279730a0bddadda27c269bcb16a3613eb41d6268e"
"Cross Sectional Samples.pdf","pumf","2005",128299,"44d70d5e16966e83e283e0b6e3bac7bf9300b8c5dd35fbfcf4d4610bee456077"
"Data Dictionary.pdf","pumf","2005",1566427,"1c38f118033a0f19274f0f2e01ed463fd1426047d2683ba8bf02eb8cafd68610"
"Derived Variable and Grouped Variable Specufucations.pdf","pumf","2005",972041,"839dd8ce1f1fdc6a16a33e7856595b5de0a8799b2142b24cd5f58c81b6980b91"
"Quality Assurance Guidelines.pdf","pumf","2005",26818,"5deebbb74efd65b2382dbc03ed3f21cb0c0be202c1bd4f99e347233ff453628c"
"Questionnaire.pdf","pumf","2005",1411933,"2ff50f2f8d0ef98fc9729bcc86014ce78f5fd3c53201b70312ee8ff80a16654a"
"Record_Layout.pdf","pumf","2005",126883,"1165a53dbb75b6e6a1cb6bd7a3c301e83de777a00f5db607bc3590f4fcd9193f"
"Topical Index.pdf","pumf","2005",132098,"c2c81010874428c65cc1ea41b8e17c438068919097c375e69ac4ff95c3757d90"
"User Guide.pdf","pumf","2005",2050514,"eb375e86b2d7edbc14539f461e6877590d069622d8ccb0bcb5897a5407ef2240"
"Approximate Sampling Variability Tables.pdf","pumf","2007-2008",501191,"c361a2ce64cb404af340fc54df7c7f43c97289fa38570e15712dec2fae2d4381"
"Availability of Optional Content.pdf","pumf","2007-2008",170301,"eba3bc6a6a55d29cd88cb26a4811c9747f9034df9843a26c441ca9fdee64359c"
"Derived Variable Specifications.pdf","pumf","2007-2008",895734,"94ff67d33ccb9bbc8adf31d449184e8570e1f90a2e357c5180dc1753d665b1c0"
